order_id,ord_id,customer_id,cust_id,order_date,order_datetime,product_id,item_id,quantity,qty,unit_price,price,total_amount,order_total,shipping_cost,tax,discount,status,order_status,payment_method,shipping_address,notes,tracking_number
ORD_00001,1,316,CUST_0316,4/1/2023,2023-07-17T02:49:00.000Z,PROD_013,143,7,1,102.72,26.75,512.69,684.81,17.88,17.52,0.00,processing,,debit_card,4648 Main St,,
ORD_00002,2,67,CUST_0067,7/28/2023,,PROD_064,168,7,1,105.97,23.73,919.51,520.20,0.00,4.78,20.78,returned,processing,bank_transfer,346 Main St,,TRK209660
ORD_00003,3,373,CUST_0373,7/19/2023,2023-08-14T17:27:00.000Z,PROD_115,88,7,5,115.02,65.04,265.97,359.42,13.51,18.81,0.00,SHIPPED,,credit_card,8981 Oak Ave,,TRK895514
ORD_00004,4,133,CUST_0133,9/1/2023,2023-09-12T11:04:00.000Z,PROD_143,110,4,4,362.33,79.32,256.05,236.93,17.90,40.37,0.00,pending,processing,paypal,6424 Pine Rd,,TRK350215
ORD_00005,5,298,CUST_0298,3/3/2023,2023-09-25T19:14:00.000Z,PROD_142,114,9,2,504.94,162.34,1008.98,568.53,15.82,13.85,11.35,delivered,CANCELLED,debit_card,8454 Oak Ave,,
ORD_00006,6,84,CUST_0084,7/6/2023,,PROD_172,114,1,1,219.81,345.09,969.60,472.27,0.00,6.09,0.00,CANCELLED,CANCELLED,credit_card,8754 Main St,,TRK377295
ORD_00007,7,480,CUST_0480,2/23/2023,2023-08-24T08:33:00.000Z,PROD_120,183,5,3,72.98,335.33,819.10,838.89,23.88,47.95,0.00,delivered,SHIPPED,credit_card,5587 Pine Rd,,TRK579850
ORD_00008,8,439,CUST_0439,2023-06-12,2023-10-01T14:40:00.000Z,PROD_171,2,3,3,353.80,119.73,159.56,130.53,21.21,11.78,0.00,delivered,pending,debit_card,8888 Oak Ave,,
ORD_00009,9,488,CUST_0488,2023-08-25,2023-01-11T23:09:00.000Z,PROD_089,101,10,4,362.03,182.75,738.71,468.88,21.30,10.69,0.00,SHIPPED,CANCELLED,debit_card,6909 Oak Ave,Special delivery instructions,TRK180891
ORD_00010,10,222,CUST_0222,5/8/2023,,PROD_070,145,9,3,321.83,330.28,445.73,746.08,9.08,45.27,0.00,SHIPPED,returned,paypal,7904 Main St,,
ORD_00011,11,462,CUST_0462,12/3/2023,2023-03-20T12:42:00.000Z,PROD_125,134,5,2,395.84,391.68,374.15,105.12,0.00,15.60,0.00,,,bank_transfer,5270 Main St,,TRK144948
ORD_00012,12,150,CUST_0150,1/28/2023,2023-11-26T14:54:00.000Z,PROD_180,107,7,1,302.50,125.61,441.57,45.39,19.15,18.47,13.44,,processing,paypal,8570 Oak Ave,,TRK626594
ORD_00013,13,159,CUST_0159,2023-07-05,,PROD_164,51,5,1,377.74,217.41,380.31,665.28,11.03,28.48,37.91,CANCELLED,CANCELLED,cash,6179 Main St,,
ORD_00014,14,369,CUST_0369,,2023-01-09T18:03:00.000Z,PROD_142,109,7,1,217.83,292.70,415.42,455.91,8.84,37.80,27.40,delivered,SHIPPED,paypal,9883 Pine Rd,,TRK859141
ORD_00015,15,278,CUST_0278,5/14/2023,2023-09-16T06:30:00.000Z,PROD_113,108,7,4,431.62,407.86,577.16,697.15,9.45,46.63,0.00,returned,CANCELLED,debit_card,7422 Main St,Special delivery instructions,TRK365990
ORD_00016,16,95,CUST_0095,6/13/2023,2023-07-03T23:53:00.000Z,PROD_156,195,9,2,308.47,398.44,582.36,551.38,16.99,39.54,0.00,CANCELLED,processing,credit_card,9302 Pine Rd,,
